Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Assetto Corsa,2014,$29.99,88,85,sports,396893,55.06,9.084
Camera Obscura,2015,$1.99,73,/,sports,389002,3.198,2.2279999999999998
Victory: The Age of Racing,2016,Free,45,/,sports,374602,2.15,0.144
Project CARS - Pagani Edition,2016,Free,56,/,sports,365922,0.258,0.078
Soccer Manager 2016,2015,Free,70,/,sports,353889,6.216,0.162
World of Soccer online,2015,Free,62,/,sports,353100,1.216,0.072
Legend of Mysteria,2015,$1.99,75,/,sports,351128,4.084,3.18
Robot Roller-Derby Disco Dodgeball,2015,$9.99,93,/,sports,341265,3.198,1.126
Soccer Manager 2015,2015,Free,70,/,sports,336530,4.036,0.126
F1 2012,2012,$19.99,89,80,sports,334952,43.006,10.078
TrackMania Stadium,2013,$9.99,90,/,sports,334360,18.27,3.33
Labyronia RPG,2015,$1.99,73,/,sports,332190,4.012,3.054
gravilon,2015,$1.99,62,/,sports,329429,3.24,3.024
Monday Night Combat,2011,$4.99,79,82,sports,317593,9.15,2.27
Greyfox,2015,$0.49,76,/,sports,310689,3.198,3.09
Labyronia RPG 2,2015,$1.99,77,/,sports,309702,4.132,3.174
Next Car Game: Wreckfest,2014,$39.99,69,/,sports,308124,6.354,2.066
Airscape: The Fall of Gravity,2015,$4.99,86,/,sports,286425,2.108,1.3
Blood Bowl: Chaos Edition,2012,$29.99,82,/,sports,273012,37.156,8.048
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011,$9.99,79,/,sports,271236,1.042,0.10200000000000001
F1 2013,2013,$24.99,85,77,sports,260979,34.174,9.036
NBA 2K15,2014,$59.99,73,/,sports,260979,142.258,58.324
Fragile Ball,2015,$1.99,69,/,sports,260781,3.15,3.012
SEGA Bass Fishing,2011,$7.99,81,/,sports,256836,2.0,0.108
Intergalactic Bubbles,2015,$1.99,82,/,sports,251510,4.276,3.174
Soccer Manager 2017,2016,Free,67,/,sports,245198,3.288,0.108
Ratventure Challenge,2015,$4.99,68,/,sports,240069,2.306,2.252
Premium Pool,2016,Free,50,/,sports,240069,1.012,0.10200000000000001
Destiny Warriors,2015,$1.99,50,/,sports,239477,4.102,3.18
Secret Of Magia,2015,$1.99,48,/,sports,238293,3.3,3.132
Pool Nation,2013,$9.99,90,/,sports,226458,5.294,3.162
Gun Rocket,2016,$0.49,74,/,sports,225274,3.2640000000000002,3.18
Epigenesis,2014,Free,67,/,sports,224288,2.246,2.18
PARTICLE MACE,2015,$9.99,90,/,sports,223301,2.3,2.21
Colin McRae Rally,2014,$6.99,43,/,sports,222512,3.162,0.24
World of Fishing,2016,Free,54,/,sports,213241,2.354,0.126
Gas Guzzlers Extreme,2013,$24.99,88,73,sports,194501,4.282,1.324
OlliOlli,2014,$12.99,80,78,sports,193909,2.018,0.156
The Odyssey,2015,$4.99,66,/,sports,192923,4.162,3.186
RoShamBo Arena,2016,Free,64,/,sports,189569,2.0,0.11399999999999999
Depth Hunter 2: Deep Dive,2014,$14.99,72,/,sports,186413,3.114,2.0
Urban Trial Freestyle,2013,$6.99,81,58,sports,185230,2.276,1.1139999999999999
NBA 2K17,2016,$59.99,51,90,sports,178523,112.042,62.138
Supraball (closed testing),2016,$9.99,65,/,sports,178128,5.102,2.03
The Chosen RPG,2016,$1.99,69,/,sports,178128,4.06,3.15
AaAaAA!!! - A Reckless Disregard for Gravity,2009,$9.99,85,81,sports,174972,2.006,0.276
WWE 2K16,2016,$49.99,66,74,sports,174183,34.108,12.18
Blood Bowl 2,2015,$44.99,70,76,sports,173197,38.162,10.348
TrackMania Canyon,2013,$19.99,89,81,sports,171816,12.09,3.138
Soccer Manager,2016,Free,62,/,sports,171619,4.294,0.138
Rec Room,2016,Free,98,/,sports,171027,2.216,0.312
Sun Blast,2015,$1.99,63,/,sports,170238,3.132,3.0
Party Jousting,2016,Free,91,/,sports,169251,0.288,0.042
Jet Racing Extreme,2015,$3.99,75,/,sports,155838,3.324,1.198
Pro Evolution Soccer 2016,2015,$19.99,53,76,sports,155640,134.204,44.252
Dangerous Golf,2016,$19.99,70,54,sports,154259,0.354,0.12
Sins Of The Demon,2016,$1.99,86,/,sports,149525,3.168,3.102
Rolling Sun,2015,$4.99,52,/,sports,146961,3.2279999999999998,3.132
F1 2014,2014,$29.99,75,61,sports,144594,41.108,11.33
Battle Ranch,2015,$1.99,52,/,sports,143805,4.318,3.168
Eastside Hockey Manager: Early Access,2015,$19.99,86,/,sports,142424,133.288,8.288
PRO EVOLUTION SOCCER 2017 TRIAL EDITION,2016,Free,36,/,sports,138478,3.3,1.036
Speedball 2 HD,2013,$9.99,65,53,sports,138084,3.042,1.288
Drift Streets Japan,2015,$2.99,73,/,sports,138084,10.108,3.066
