Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
"Ben There, Dan That!",2009,$4.99,83,84,adventure,451337,1.1139999999999999,0.072
"Time Gentlemen, Please!",2009,$4.99,83,84,adventure,451337,1.078,0.024
From Dust,2011,$14.99,63,76,adventure,450351,5.27,2.192
Botanicula,2012,$9.99,97,82,adventure,449365,2.234,1.054
Strider,2014,$14.99,87,78,adventure,447392,3.252,2.012
Evoland,2013,$9.99,83,61,adventure,446603,3.162,2.18
Trine 3: The Artifacts of Power,2015,$21.99,66,/,adventure,441277,4.042,3.036
Puzzle Agent 2,2011,$9.99,86,63,adventure,440882,3.282,2.33
Stacking,2012,$9.99,90,80,adventure,440093,4.012,2.06
Shovel Knight,2014,$14.99,96,85,adventure,438318,8.27,5.162
Mafia III,2016,$59.99,46,63,adventure,437529,23.252,15.078
Monkey Island 2: Special Edition,2010,$9.99,96,87,adventure,434767,5.312,3.096
The Hat Man: Shadow Ward,2016,$1.99,70,/,adventure,433189,2.198,1.204
Beatbuddy: Tale of the Guardians,2013,$9.99,78,75,adventure,430822,1.3479999999999999,0.276
Grow Home,2015,$7.99,93,75,adventure,429441,4.012,2.06
Sunless Sea,2015,$18.99,83,81,adventure,429046,13.264,3.192
Assassins Creed Unity,2014,$39.99,55,/,adventure,428849,27.138,18.252
The Secret World,2012,$29.99,85,74,adventure,428060,48.132,11.24
DETOUR,2011,$0.49,62,/,adventure,427468,2.324,2.054
Sniper Elite: Nazi Zombie Army 2,2013,$14.99,85,53,adventure,426482,4.318,2.318
The Howler,2016,$1.99,80,/,adventure,426482,3.144,2.33
A Story About My Uncle,2014,$12.99,93,73,adventure,425101,3.2640000000000002,2.2279999999999998
GRAV,2015,$19.99,66,/,adventure,424312,10.222,2.072
Magicite,2014,$9.99,88,/,adventure,423523,13.048,6.24
Proteus,2013,$9.99,73,80,adventure,419183,0.3,0.10200000000000001
Running Shadow,2015,Free,67,/,adventure,414844,2.006,0.11399999999999999
LEGO - The Hobbit,2014,$19.99,80,/,adventure,403600,15.216,4.324
The Basement Collection,2012,$3.99,85,/,adventure,403205,2.156,0.318
Victor Vran,2015,$19.99,90,75,adventure,402613,9.276,4.132
Saviors,2016,$1.99,85,/,adventure,398273,3.204,3.108
Passing Pineview Forest,2014,Free,69,/,adventure,398076,0.174,0.072
CONSORTIUM,2014,$9.99,74,/,adventure,395315,3.234,3.066
The Incredible Adventures of Van Helsing II,2014,$14.99,67,77,adventure,393539,9.06,2.258
The Pirate: Caribbean Hunt,2016,Free,79,/,adventure,392947,5.012,0.192
Oddworld: Abe's Exoddus,2008,$2.99,95,/,adventure,390777,4.216,0.132
Retro City Rampage DX,2014,$9.99,91,/,adventure,390580,3.144,1.12
Caster,2009,$1.99,79,/,adventure,390383,2.27,1.1139999999999999
Camera Obscura,2015,$1.99,73,/,adventure,389002,3.198,2.2279999999999998
Blood and Bacon,2016,$0.79,96,/,adventure,388608,2.282,1.234
Titan Souls,2015,$14.99,81,74,adventure,387819,2.048,1.0
Slender: The Arrival,2013,$9.99,89,65,adventure,387424,2.282,1.168
Papo & Yo,2013,$14.99,94,70,adventure,384071,2.156,1.144
Edna & Harvey: Harvey's New Eyes,2012,$19.99,92,75,adventure,383479,4.168,2.24
Syberia,2011,$12.99,89,82,adventure,378547,3.354,1.3479999999999999
How to Survive 2,2016,$14.99,73,69,adventure,376575,9.246,4.024
Castlevania: Lords of Shadow - Ultimate Edition,2013,$29.99,80,/,adventure,371446,11.204,3.036
The Bard's Tale,2009,$9.99,81,70,adventure,369079,4.192,0.24
Legend of Grimrock 2,2014,$23.99,92,/,adventure,368487,17.09,4.288
Endorlight,2016,$2.99,52,/,adventure,368092,4.09,4.168
SOMA,2015,$29.99,96,84,adventure,365331,7.066,4.264
Squishy the Suicidal Pig,2014,$1.99,85,/,adventure,364147,2.078,0.294
KHOLAT,2015,$19.99,74,64,adventure,363950,2.18,1.042
Chaos on Deponia,2012,$19.99,91,78,adventure,357637,7.294,6.18
Tesla Effect,2014,$19.99,89,68,adventure,356651,5.084,1.126
Shadowrun: Hong Kong,2015,$19.99,87,81,adventure,356454,23.252,14.15
Penumbra: Black Plague,2009,$9.99,95,78,adventure,356454,3.282,2.084
Mini Ninjas,2009,$9.99,86,74,adventure,356454,3.066,0.336
Penumbra: Requiem,,Free,54,67,adventure,356454,1.342,0.18
Insanity Clicker,2016,Free,66,/,adventure,356454,31.27,1.258
Black Mesa,2015,$19.99,94,86,adventure,355270,10.144,6.186
Portal Knights,2016,$14.99,85,/,adventure,352509,14.204,7.2459999999999996
Legend of Mysteria,2015,$1.99,75,/,adventure,351128,4.084,3.18
Q.U.B.E: Director's Cut,2014,$9.99,83,/,adventure,347971,1.294,0.33
The Deer,2016,$0.49,73,/,adventure,347577,3.072,3.12
Watch_Dogs® 2,2016,$59.99,81,/,adventure,346788,21.048,15.282
Hydrophobia: Prophecy,2011,$4.99,62,64,adventure,346591,2.192,1.024
AdventureQuest 3D,2016,Free,61,/,adventure,344618,3.258,0.144
Mandagon,2016,Free,95,/,adventure,344223,0.252,0.084
