Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
The Magic Circle,2015,$19.99,92,79,simulation,102971,2.348,2.216
Miner Wars 2081,2012,$9.99,34,52,simulation,102774,2.306,0.288
Road Redemption,2014,$19.99,84,/,simulation,102774,4.156,1.288
JDM Tuner Racing,2016,$0.99,49,/,simulation,101985,0.20400000000000001,0.072
Biodrone Battle,2015,$1.99,62,/,simulation,101985,4.198,3.192
Anno 2205,2015,$39.99,58,72,simulation,101788,29.174,15.21
Airline Tycoon 2,2011,$9.99,13,57,simulation,100999,4.2459999999999996,1.084
Disturbed,2016,Free,93,/,simulation,100999,0.306,0.10200000000000001
Folk Tale,,$19.99,70,/,simulation,100801,7.132,2.342
WWE 2K15,2015,$49.99,68,70,simulation,100209,27.21,11.198
Shoppe Keep,2016,$9.99,80,/,simulation,100012,8.03,4.018
Rake,2015,$4.99,74,/,simulation,99618,1.186,0.216
Splatter - Blood Red Edition,2014,$0.49,90,/,simulation,99618,3.222,2.15
Theatre of War 2: Africa 1943,2010,$4.99,63,63,simulation,99223,4.282,0.294
If My Heart Had Wings,2014,$4.94,92,/,simulation,98434,11.114,3.3
The Decimation of Olarath,2016,$0.99,23,/,simulation,98237,3.108,3.09
What's under your blanket !?,2016,$0.99,85,/,simulation,97645,2.012,0.132
Agricultural Simulator 2013 Steam Edition,2013,$9.99,22,/,simulation,96659,5.03,0.15
"Demolition, Inc.",2011,$5.99,78,/,simulation,95870,2.024,1.036
Mad Games Tycoon,2016,$14.99,91,/,simulation,95475,17.186,9.03
One Thousand Lies,2016,Free,93,/,simulation,95081,1.354,0.066
Aircraft War X,2016,$2.99,59,/,simulation,94883,4.018,3.066
Evochron Mercenary,2012,$19.99,80,70,simulation,94489,7.18,2.18
Simutrans,2016,Free,74,/,simulation,93897,1.186,0.024
Back to Dinosaur Island Part 2,2016,Free,69,/,simulation,93700,1.102,0.054
Combat Wings: Battle of Britain,2009,$4.99,77,/,simulation,93305,3.246,0.354
Worlds Adrift Island Creator,2016,Free,86,/,simulation,93305,1.09,0.11399999999999999
Naval Action,2016,$39.99,74,/,simulation,93108,97.162,15.012
Ashes of the Singularity,2016,$9.99,65,69,simulation,92911,7.096,2.186
Lucius II,2015,$19.99,61,48,simulation,91924,5.252,2.252
Dawn of Discovery,2009,$9.99,88,82,simulation,91333,37.312,8.0
Iron Front : Liberation 1944,2012,$14.99,64,55,simulation,90938,13.168,3.09
The Last Federation,2014,$4.59,73,72,simulation,90741,6.03,2.21
Silent Hunter 5: Battle of the Atlantic,,$9.99,44,62,simulation,89952,26.0,6.138
SuperPower 2 Steam Edition,2014,$9.99,79,/,simulation,88571,22.156,3.24
Teddy Floppy Ear - The Race,2015,$1.09,76,/,simulation,88176,5.156,5.276
Fate of the World,2011,$9.99,79,70,simulation,86401,4.306,1.09
Flight of the Paladin,2015,$1.99,56,/,simulation,86401,4.348,3.18
Sirius Online,2015,Free,67,/,simulation,85612,3.12,2.18
F1 2010,2010,$9.99,69,84,simulation,84823,39.144,10.306
Imperia Online,2016,Free,36,/,simulation,84034,4.156,0.054
The Isle,2015,$19.99,65,/,simulation,83442,51.216,8.264
GTR 2 - FIA GT Racing Game,2012,$7.99,94,/,simulation,83442,0.252,0.006
Cosmonautica,2015,$9.99,57,/,simulation,83442,9.15,4.018
Silent Hunter: Wolves of the Pacific,2008,$9.99,68,79,simulation,83048,17.018,3.222
Post Master,2014,$4.99,45,/,simulation,82850,2.234,1.294
Mr.President!,2016,$1.99,72,/,simulation,82456,2.216,1.18
Game Tycoon 1.5,2014,$2.99,11,/,simulation,82061,3.012,3.078
Dinosaur Hunt: Africa Contract,2015,$0.99,63,/,simulation,81864,2.114,1.138
Bus Simulator 16,2016,$24.99,55,/,simulation,80878,11.078,5.348
Farming Simulator 2011,2010,$9.99,86,/,simulation,80878,52.186,17.234
X-Plane 10 Global - 64 Bit,2014,$49.99,68,/,simulation,80483,43.018,4.192
Bridge Constructor Medieval,2014,$6.99,80,/,simulation,80483,3.24,1.186
Bridge Constructor Playground,2014,$6.99,64,/,simulation,79891,1.264,0.216
Kill The Bad Guy,2014,$9.99,66,/,simulation,79891,1.354,0.33
Mystic Destinies: Serendipity of Aeons,2016,Free,82,/,simulation,79102,2.096,0.126
Gaokao.Love.100Days,2015,$9.99,95,/,simulation,78708,7.036,4.342
PULSAR: Lost Colony,2015,$24.99,91,/,simulation,78511,10.312,7.072
Atom Fishing II,2016,Free,73,/,simulation,78313,6.006,0.144
Badland Bandits,2015,Free,49,/,simulation,77919,1.06,0.084
Wildlife Park 3,2014,$7.99,52,/,simulation,77722,7.102,1.3479999999999999
Halcyon 6: Starbase Commander,2016,$19.99,79,72,simulation,77130,10.234,4.324
High Profits,2017,Free,50,/,simulation,76538,6.132,0.276
Zaccaria Pinball,2016,Free,79,/,simulation,76538,1.336,0.066
Who Is Mike,2015,Free,92,/,simulation,76341,0.18,0.138
Motorsport Manager,2016,$34.99,90,81,simulation,75946,50.294,28.162
Cargo! - The quest for gravity,2011,$9.99,81,/,simulation,75946,2.186,1.012
Nexus: The Jupiter Incident,2007,$9.99,86,77,simulation,75552,11.24,3.126
STAR WARSâ„¢: Rogue Squadron 3D,2016,$9.99,77,/,simulation,75157,1.204,0.20400000000000001
Air Conflicts - Secret Wars,2011,$7.99,60,65,simulation,74960,4.126,1.048
Game Corp DX,2015,$2.99,88,/,simulation,74960,5.264,3.12
Zoo Park,2014,$4.99,60,/,simulation,73184,1.324,0.096
March of the Eagles,2013,$19.99,66,71,simulation,72987,10.318,3.15
Caesar 3,2016,$5.99,85,/,simulation,72987,13.072,2.078
Airport Simulator 2014,2013,$9.99,13,/,simulation,72198,2.12,0.108
Ultimate Arena,2016,$2.99,84,/,simulation,72198,3.132,3.078
Off-Road Drive,2011,$4.99,62,60,simulation,72001,3.312,1.042
Woodcutter Simulator 2013,2013,$9.99,28,/,simulation,70226,1.006,0.09
Shake Your Money Simulator 2016,2016,$0.99,64,/,simulation,69042,2.156,2.354
