Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Reversion - The Escape,2014,$0.99,77,/,indie,505979,1.096,0.324
Reign Of Kings,2015,$4.99,61,/,indie,504204,37.114,11.222
Pool Nation FX,2015,Free,62,/,indie,502034,1.036,0.066
Serious Sam Double D XXL,2011,$9.99,86,/,indie,501836,1.324,0.162
Grimm,2014,Free,88,/,indie,500653,3.2640000000000002,3.024
Savage Lands,2015,$14.99,68,/,indie,497694,7.048,1.252
Scrap Mechanic,2016,$19.99,83,/,indie,497299,22.114,8.318
Zeno Clash,2009,$9.99,86,77,indie,496905,3.048,1.276
I am Bread,2015,$12.99,79,60,indie,496708,2.246,1.024
McPixel,2012,$4.99,83,76,indie,496116,2.222,1.186
Fiends of Imprisonment,2015,$0.79,46,/,indie,495327,3.294,3.18
Youtubers Life,2016,$14.99,81,/,indie,493749,11.312,7.216
Town of Salem,2014,$4.99,89,/,indie,493157,27.324,9.27
Revolution Ace,2014,$1.99,74,/,indie,492368,2.288,2.156
Serious Sam: The Random Encounter,2011,$4.99,53,64,indie,491381,0.222,0.078
Primal Carnage,2012,$7.99,78,67,indie,490395,8.24,1.282
Revenge of the Titans,2011,$9.99,87,79,indie,488423,3.102,1.138
Strike Suit Zero,2013,$19.99,80,66,indie,487633,3.156,1.138
Recettear: An Item Shop's Tale,2010,$19.99,97,82,indie,487436,13.09,6.186
Altitude,2009,Free,93,79,indie,487436,9.114,0.354
The Banner Saga: Factions,2013,Free,75,67,indie,487239,2.3,0.18
Rock of Ages,2011,$9.99,92,74,indie,486844,2.2640000000000002,1.06
Five Nights at Freddy's 2,2014,$7.99,91,62,indie,484872,4.024,1.126
Never Alone (Kisima Ingitchuna),2014,$14.99,83,/,indie,483096,2.336,1.354
Champions of Regnum,2013,Free,60,/,indie,481913,12.336,0.24
Penumbra: Overture,2009,$9.99,93,73,indie,478362,3.042,1.174
Morphopolis,2014,$1.99,84,/,indie,478362,3.114,2.216
Toki Tori,2010,$9.99,88,80,indie,476587,2.258,0.24599999999999997
Duelyst,2016,Free,87,82,indie,474022,8.084,1.09
SteamWorld Dig,2013,$9.99,93,76,indie,472050,4.15,2.21
Keep Talking and Nobody Explodes,2015,$14.99,98,67,indie,467907,4.0,2.18
Brilliant Bob,2015,$0.79,55,/,indie,466329,4.234,4.18
Among Ripples,2015,Free,71,/,indie,460806,0.084,0.036
Viscera Cleanup Detail,2015,$12.99,93,/,indie,460017,7.132,3.342
TOXIKK,2016,Free,75,/,indie,456269,1.192,0.138
"Sir, You Are Being Hunted",2014,$19.99,82,63,indie,455874,2.342,1.102
Unepic,2014,$12.99,94,68,indie,452915,12.348,4.354
Punch Club,2016,$9.99,81,73,indie,452323,8.222,5.102
Rochard,2011,$9.99,91,81,indie,452126,2.27,0.306
"Ben There, Dan That!",2009,$4.99,83,84,indie,451337,1.1139999999999999,0.072
"Time Gentlemen, Please!",2009,$4.99,83,84,indie,451337,1.078,0.024
Botanicula,2012,$9.99,97,82,indie,449365,2.234,1.054
Murder Miners,2014,$0.49,82,/,indie,448378,3.09,0.282
Evoland,2013,$9.99,83,61,indie,446603,3.162,2.18
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",2015,Free,93,/,indie,444630,0.324,0.156
Solar 2,2011,$9.99,90,72,indie,442263,4.072,2.162
The Bridge,2013,$9.99,88,74,indie,442066,2.114,1.156
Trine 3: The Artifacts of Power,2015,$21.99,66,/,indie,441277,4.042,3.036
Stacking,2012,$9.99,90,80,indie,440093,4.012,2.06
Shovel Knight,2014,$14.99,96,85,indie,438318,8.27,5.162
The Hat Man: Shadow Ward,2016,$1.99,70,/,indie,433189,2.198,1.204
Beatbuddy: Tale of the Guardians,2013,$9.99,78,75,indie,430822,1.3479999999999999,0.276
