Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,2012,$0.94,85,/,RPG,313140,4.012,1.102
Greyfox,2015,$0.49,76,/,RPG,312335,3.186,3.102
Terra Incognita ~ Chapter One: The Descendant,2015,$0.49,75,/,RPG,310323,3.126,3.006
SolForge,2016,Free,67,/,RPG,309317,57.078,2.048
King's Bounty: Crossworlds,2010,$14.99,93,78,RPG,304889,26.126,3.288
Hyper Light Drifter,2016,$19.99,94,84,RPG,303682,7.144,4.018
Heroine's Quest: The Herald of Ragnarok,2014,Free,87,/,RPG,299254,4.06,0.15
Full Mojo Rampage,2014,$12.99,87,/,RPG,297443,3.198,1.246
Depression Quest,2014,Free,56,/,RPG,292613,1.222,0.084
Divinity: Dragon Commander,2013,$39.99,77,/,RPG,292613,7.27,3.27
Flesh Eaters,2016,$0.99,78,/,RPG,291607,2.252,2.21
Elite Dangerous: Arena,2016,$7.49,42,/,RPG,291204,1.27,0.192
Tales of Zestiria,2015,$49.99,88,77,RPG,287984,24.342,11.198
Tap Tap Infinity,2015,Free,75,/,RPG,287381,22.252,1.102
Planet Explorers,2016,$19.99,73,/,RPG,287179,13.12,3.15
Tharsis,2016,$14.99,69,61,RPG,286777,3.342,2.096
Lost Castle,2016,$9.99,93,/,RPG,284764,19.192,12.036
LIGHTNING RETURNSâ„¢: FINAL FANTASYÂ® XIII,2015,$19.99,82,/,RPG,283356,15.132,3.114
Airscape: The Fall of Gravity,2015,$4.99,86,/,RPG,282551,2.078,1.282
Sacred 3,2014,$14.99,20,57,RPG,272287,5.2459999999999996,2.27
Dragon's Prophet (EU),2013,Free,72,63,RPG,271683,19.258,1.228
King Arthur - The Role-playing Wargame,2009,$9.99,76,/,RPG,270677,15.348,2.12
Uncharted Waters Online: Gran Atlas,2014,Free,65,/,RPG,270275,25.096,0.168
Might & Magic: Clash of Heroes,2011,$9.99,92,76,RPG,269470,24.096,8.09
Shop Heroes,2016,Free,70,/,RPG,269268,44.168,1.144
Hero Zero,2016,Free,72,/,RPG,266250,11.036,0.12
A Bird Story,2014,$3.99,84,66,RPG,265244,2.072,1.138
Avencast,2010,$0.99,66,68,RPG,264640,3.108,0.144
Jagged Alliance - Back in Action,2012,$19.99,67,62,RPG,264237,42.174,6.222
Starpoint Gemini 2,2014,$34.99,73,70,RPG,262829,13.0,3.114
Interstellar Marines,2013,$9.99,65,/,RPG,262225,3.2279999999999998,0.336
Freedom Force,2009,$4.99,67,90,RPG,261420,3.018,0.24
Forge of Gods (RPG),2016,Free,80,/,RPG,261420,21.21,0.34199999999999997
Ys Origin,2012,$19.99,95,76,RPG,261219,10.198,3.348
Fragile Ball,2015,$1.99,69,/,RPG,261017,3.132,3.012
Mars: War Logs,2013,$14.99,74,59,RPG,259810,6.054,3.102
"On the Rain-Slick Precipice of Darkness, Episode One",2008,$7.99,90,/,RPG,259609,3.15,1.24
The Slaughtering Grounds,2014,$0.99,35,/,RPG,258401,3.156,3.114
Requiem,2015,Free,60,/,RPG,257797,2.336,0.174
Lichdom: Battlemage,2014,$39.99,62,69,RPG,257395,5.18,2.24
The Legend of Heroes: Trails in the Sky,2014,$19.99,93,85,RPG,254779,21.096,6.15
Evoland 2,2015,$19.99,90,/,RPG,254175,8.354,3.258
Sang-Froid - Tales of Werewolves,2013,$14.99,87,79,RPG,253974,3.018,1.072
Tactical Craft Online,2016,Free,50,/,RPG,252565,2.036,0.054
Mordheim: City of the Damned,2015,$39.99,71,74,RPG,252162,38.336,5.294
Might & Magic Heroes Online,2015,Free,38,/,RPG,251961,5.288,0.10200000000000001
Intergalactic Bubbles,2015,$1.99,82,/,RPG,251559,4.282,3.18
Guardians of Orion,2015,$24.99,61,/,RPG,250150,2.222,0.276
Frozen Hearth,2013,$17.99,30,46,RPG,249747,2.288,1.144
Dead Pixels,2012,$2.99,87,/,RPG,249144,2.066,0.324
Ratventure Challenge,2015,$0.49,68,/,RPG,246528,2.294,2.246
Devils Share,2015,$0.99,31,/,RPG,243106,4.024,4.018
Destiny Warriors,2015,$1.99,50,/,RPG,243106,4.006,3.18
Edge of Space,2015,$14.99,48,/,RPG,242905,5.174,2.048
Reigns,2016,$2.99,92,77,RPG,242503,3.168,1.342
Deadly Profits,2015,$1.99,36,/,RPG,242503,4.204,4.15
FINAL FANTASY IX,2016,$20.99,92,84,RPG,242301,21.036,8.342
LISA,2014,$9.99,95,78,RPG,241899,6.294,1.354
HIS (Heroes In the Sky),2015,Free,40,/,RPG,241698,8.078,0.072
Paranautical Activity: Deluxe Atonement Edition,2014,$9.99,72,/,RPG,241496,3.078,1.096
